time,reward,1,2,3,4,5,6,7,8,delay,replication
56700,0,30,30,62,34,14,30,42,35,0,8050315
53100,0,30,30,62,34,14,30,42,35,0,8050315
44100,0,30,30,62,34,14,30,42,35,0,8050315
57600,0,30,30,62,34,14,30,42,35,0,8050315
54000,0,30,30,62,34,14,30,42,35,0,8050315
45000,0,30,30,62,34,14,30,42,35,0,8050315
58500,0,30,30,62,34,14,30,42,35,0,8050315
54900,0,30,30,62,34,14,30,42,35,0,8050315
45900,0,30,30,62,34,14,30,42,35,0,8050315
46800,0,30,30,62,15,14,30,42,35,0,8050315
55800,0,30,30,62,34,14,30,42,35,0,8050315
59400,0,30,30,62,34,14,30,42,35,0,8050315
47700,0,30,30,15,34,14,30,42,35,0,8050315
60300,0,30,30,62,34,14,30,42,35,0,8050315
56700,0,30,30,62,34,14,30,42,35,0,8050315
48600,0,30,30,62,34,14,30,42,35,0,8050315
61200,0,30,30,62,34,14,30,42,35,0,8050315
57600,0,30,30,62,34,14,30,42,35,0,8050315
49500,0,30,30,62,15,14,30,42,35,0,8050315
62100,0,30,30,62,34,14,30,42,35,0,8050315
50400,0,30,30,62,34,14,30,42,35,0,8050315
58500,0,30,30,62,34,14,30,42,35,0,8050315
63000,0,30,30,15,34,14,30,42,35,0,8050315
59400,0,30,30,62,34,14,30,42,35,0,8050315
51300,0,30,30,62,34,14,30,42,35,0,8050315
63900,0,30,30,62,34,14,30,42,35,0,8050315
60300,0,30,30,62,34,14,30,42,35,0,8050315
52200,0,30,30,62,34,14,30,42,35,0,8050315
64800,0,30,30,62,34,14,30,42,35,0,8050315
61200,0,30,30,62,34,14,30,42,35,0,8050315
53100,0,30,30,62,34,14,30,42,35,0,8050315
65700,0,30,30,62,34,14,30,42,35,0,8050315
66600,0,30,30,62,34,14,30,42,35,0,8050315
62100,0,30,30,62,34,14,30,42,35,0,8050315
54000,0,30,30,62,34,14,30,42,35,0,8050315
63000,0,30,5,62,34,14,30,42,35,0,8050315
54900,0,30,30,62,34,14,30,42,35,0,8050315
67500,0,30,30,62,34,14,30,42,35,0,8050315
68400,0,30,30,62,34,14,30,42,35,0,8050315
63900,0,30,30,62,34,14,30,42,35,0,8050315
69300,0,30,30,62,34,14,30,42,35,0,8050315
64800,0,30,30,62,69,14,30,42,35,0,8050315
70200,0,30,30,62,34,14,30,42,35,0,8050315
65700,0,30,30,62,34,14,30,42,35,0,8050315
55800,0,30,30,62,34,14,30,42,35,0,8050315
66600,0,30,30,62,34,14,30,42,35,0,8050315
71100,0,30,30,62,34,14,30,42,35,0,8050315
56700,0,30,30,62,34,14,30,42,35,0,8050315
72000,0,30,30,62,34,14,30,42,35,0,8050315
67500,0,30,30,62,34,14,30,42,35,0,8050315
57600,0,30,30,62,34,14,30,42,35,0,8050315
58500,0,30,30,62,34,14,30,42,35,0,8050315
72900,0,30,30,62,34,14,30,42,35,0,8050315
68400,0,30,30,62,34,30,30,42,35,0,8050315
73800,0,30,30,62,34,14,30,42,35,0,8050315
59400,0,30,30,62,34,14,30,42,35,0,8050315
69300,0,30,30,62,34,14,30,42,35,0,8050315
74700,0,30,30,62,69,14,30,42,35,0,8050315
60300,0,30,30,62,34,14,30,42,35,0,8050315
70200,0,30,30,62,34,14,30,42,35,0,8050315
61200,0,30,30,62,34,14,30,42,35,0,8050315
62100,0,30,30,62,34,14,30,42,35,0,8050315
71100,0,30,30,62,34,14,30,42,35,0,8050315
75600,0,30,30,62,34,30,30,42,35,0,8050315
63000,0,30,30,62,34,14,30,42,35,0,8050315
76500,0,30,30,62,34,14,30,42,35,0,8050315
72000,0,30,30,62,34,14,30,42,35,0,8050315
63900,0,30,30,62,34,14,30,42,35,0,8050315
72900,0,30,30,62,34,14,30,42,35,0,8050315
77400,0,30,30,62,34,14,30,42,35,0,8050315
64800,0,30,30,62,34,14,30,42,35,0,8050315
73800,0,30,30,62,34,14,30,42,35,0,8050315
78300,0,30,30,62,34,14,30,42,35,0,8050315
74700,0,30,30,62,34,14,30,42,35,0,8050315
65700,0,30,30,62,34,14,30,42,35,0,8050315
79200,0,30,30,62,69,14,30,42,35,0,8050315
75600,0,30,30,62,34,14,30,42,35,0,8050315
66600,0,30,30,62,34,14,30,42,35,0,8050315
80100,0,30,30,62,34,14,30,42,35,0,8050315
76500,0,30,30,62,34,14,30,42,35,0,8050315
67500,0,30,30,62,34,14,30,42,35,0,8050315
81000,0,30,30,62,34,14,30,42,35,0,8050315
77400,0,30,30,62,34,14,30,42,35,0,8050315
68400,0,30,30,62,34,14,30,42,35,0,8050315
81900,0,30,30,62,34,14,30,42,35,0,8050315
78300,0,30,30,62,34,14,30,42,35,0,8050315
69300,0,30,30,62,34,14,30,42,35,0,8050315
82800,0,30,30,62,34,14,30,42,35,0,8050315
79200,0,30,30,62,34,14,30,42,35,0,8050315
70200,0,30,30,62,34,14,30,42,35,0,8050315
83700,0,30,30,62,34,14,30,42,35,0,8050315
71100,0,30,30,62,34,14,30,42,35,0,8050315
80100,0,30,30,62,34,14,30,42,35,0,8050315
84600,0,30,30,62,34,14,30,42,35,0,8050315
72000,0,30,30,62,34,14,30,42,35,0,8050315
81000,0,30,30,62,34,14,30,42,35,0,8050315
85500,0,30,30,62,34,14,30,42,35,0,8050315
72900,0,30,30,62,34,14,30,42,35,0,8050315
81900,0,30,30,62,34,14,30,42,35,0,8050315
86400,0,30,30,62,34,14,30,42,35,0,8050315
73800,0,30,30,62,34,14,30,42,35,0,8050315
82800,0,30,30,62,34,14,30,42,35,0,8050315
87300,0,30,30,62,22,14,30,42,35,0,8050315
74700,0,30,30,62,34,14,30,42,35,0,8050315
83700,0,30,30,62,34,14,30,42,35,0,8050315
88200,0,30,30,62,34,14,30,42,35,0,8050315
75600,0,30,30,62,34,14,30,42,35,0,8050315
84600,0,30,30,62,34,14,30,42,35,0,8050315
89100,0,30,30,62,34,14,30,42,35,0,8050315
76500,0,30,30,62,34,14,30,42,35,0,8050315
85500,0,30,30,62,34,14,30,42,35,0,8050315
90000,0,30,30,62,34,14,30,42,35,0,8050315
77400,0,30,30,62,34,14,30,42,35,0,8050315
86400,0,30,30,62,34,14,30,42,35,0,8050315
90900,0,7,30,62,34,14,30,42,35,0,8050315
78300,0,30,30,62,34,14,30,42,35,0,8050315
87300,0,30,30,62,34,14,30,42,35,0,8050315
91800,0,30,30,25,34,14,30,42,35,0,8050315
79200,0,30,30,26,34,14,30,42,35,0,8050315
88200,0,30,30,62,34,14,30,42,35,0,8050315
92700,0,30,30,62,34,14,30,42,35,0,8050315
89100,0,30,30,62,34,14,30,42,35,0,8050315
80100,0,30,30,62,34,14,30,42,35,0,8050315
93600,0,30,30,62,34,14,30,42,35,0,8050315
81000,0,30,30,62,34,14,30,42,35,0,8050315
90000,0,30,30,62,34,14,30,42,35,0,8050315
94500,0,30,30,62,34,14,30,42,35,0,8050315
